 Table of rho values created with FFT surfaces and polarized ray tracing as described in
   Mobley, C.D., 2015.  Polarized Reflectance and Transmittance Properties of Wind-blown Sea Surfaces,
   Applied Optics (in review)
 NOTE: This is a preliminary table for use during review of the above paper.
   These rho values are for fully developed seas, sun's direct rays parallel to the wind direction,
   a Rayleigh, single-scattering sky at 550 nm, and wind speeds of 0, 2, 4, 5, 6, 8, 10, 12, 14, and 15 m/s.
   The final table will be placed online once the above paper has been accepted for publication.
 rho is computed from the I components of the Stokes radiance vectors: rho = I(surface reflected)/I(sky) [nondimensional]
 Theta_v is the polar viewing angle measured from 0 at the nadir.
 Phi_v is the azimuthal viewing angle measured from the sun at phi_v = 0
 Looping order is
    wind speed
       sun zenith angle
          theta_v
             phi_v
 Data blocks of 118 theta_v, phi_v, rho(theta_v, phi_v) records on an (f7.1,f9.1,e15.4) format are separated by 
   records giving the wind speed and sun zenith angle on an (12x,f5.1,20x,f5.1) format.
-------------------------------
 Theta_v    Phi_v       rho
-------------------------------
WIND SPEED =  0.0; SUN ZENITH ANGLE =  0.0
   50.0    105.0    4.8063e-002
   50.0    120.0    5.1671e-002
   50.0    135.0    5.5420e-002
   50.0    150.0    5.8715e-002
   50.0    165.0    6.0974e-002
   50.0    180.0    6.1777e-002
   60.0      0.0    7.7227e-002
   60.0     15.0    7.7340e-002
   60.0     30.0    7.7747e-002
   60.0     45.0    7.8644e-002
   60.0     60.0    8.0324e-002
   60.0     75.0    8.3098e-002
   60.0     90.0    8.7165e-002
   60.0    105.0    9.2457e-002
   60.0    120.0    9.8528e-002
   60.0    135.0    1.0460e-001
   60.0    150.0    1.0977e-001
   60.0    165.0    1.1323e-001
   60.0    180.0    1.1444e-001
   70.0      0.0    1.7563e-001
   70.0     15.0    1.7585e-001
   70.0     30.0    1.7658e-001
   70.0     45.0    1.7808e-001
   70.0     60.0    1.8070e-001
   70.0     75.0    1.8481e-001
   70.0     90.0    1.9053e-001
   70.0    105.0    1.9763e-001
   70.0    120.0    2.0539e-001
   70.0    135.0    2.1279e-001
   70.0    150.0    2.1882e-001
   70.0    165.0    2.2273e-001
   70.0    180.0    2.2408e-001
   80.0      0.0    4.2728e-001
   80.0     15.0    4.2743e-001
   80.0     30.0    4.2798e-001
   80.0     45.0    4.2911e-001
   80.0     60.0    4.3111e-001
   80.0     75.0    4.3423e-001
   80.0     90.0    4.3850e-001
   80.0    105.0    4.4363e-001
   80.0    120.0    4.4904e-001
   80.0    135.0    4.5400e-001
   80.0    150.0    4.5792e-001
   80.0    165.0    4.6039e-001
   80.0    180.0    4.6124e-001
   87.5      0.0    8.1109e-001
   87.5     15.0    8.1105e-001
   87.5     30.0    8.1095e-001
   87.5     45.0    8.1086e-001
   87.5     60.0    8.1087e-001
   87.5     75.0    8.1111e-001
   87.5     90.0    8.1162e-001
   87.5    105.0    8.1240e-001
   87.5    120.0    8.1333e-001
   87.5    135.0    8.1425e-001
   87.5    150.0    8.1501e-001
   87.5    165.0    8.1551e-001
   87.5    180.0    8.1568e-001
WIND SPEED =  0.0; SUN ZENITH ANGLE = 30.0
    0.0      0.0    2.1129e-002
   10.0      0.0    2.1201e-002
   10.0     15.0    2.1183e-002
   10.0     30.0    2.1136e-002
   10.0     45.0    2.1073e-002
   10.0     60.0    2.1012e-002
   10.0     75.0    2.0974e-002
   10.0     90.0    2.0977e-002
   10.0    105.0    2.1027e-002
